scale,porosity,v_added_sim,v_added_meas,file_index
0.12,0.94,5.945056856501376e-06,6e-06,1
0.19,0.93,6.05027674486671e-06,6e-06,1
0.2,0.93,6.031391123878061e-06,6e-06,1
0.21,0.93,6.012505502889411e-06,6e-06,1
0.22,0.93,5.993619881900761e-06,6e-06,1
0.23,0.93,5.974734260912111e-06,6e-06,1
0.24,0.93,5.955848639923461e-06,6e-06,1
0.29000000000000004,0.92,6.052974690722233e-06,6e-06,1
0.3,0.92,6.031391123878061e-06,6e-06,1
0.31,0.92,6.009807557033889e-06,6e-06,1
0.32,0.92,5.988223990189719e-06,6e-06,1
0.33,0.92,5.9666404233455475e-06,6e-06,1
0.34,0.92,5.945056856501376e-06,6e-06,1
0.37,0.91,6.05027674486671e-06,6e-06,1
0.38,0.91,6.025995232167019e-06,6e-06,1
0.39,0.91,6.001713719467327e-06,6e-06,1
0.4,0.91,5.977432206767632e-06,6e-06,1
0.41,0.91,5.9531506940679415e-06,6e-06,1
0.43,0.9,6.058370582433275e-06,6e-06,1
0.44,0.9,6.031391123878061e-06,6e-06,1
0.45,0.9,6.004411665322847e-06,6e-06,1
0.46,0.9,5.977432206767634e-06,6e-06,1
0.47,0.9,5.950452748212419e-06,6e-06,1
0.49,0.89,6.034089069733583e-06,6e-06,1
0.5,0.89,6.004411665322847e-06,6e-06,1
0.51,0.89,5.974734260912112e-06,6e-06,1
0.52,0.89,5.945056856501378e-06,6e-06,1
0.53,0.88,6.042182907300147e-06,6e-06,1
0.54,0.88,6.00980755703389e-06,6e-06,1
0.55,0.88,5.977432206767632e-06,6e-06,1
0.56,0.88,5.945056856501376e-06,6e-06,1
0.5700000000000001,0.87,6.02869317802254e-06,6e-06,1
0.5800000000000001,0.87,5.993619881900762e-06,6e-06,1
0.59,0.87,5.958546585778984e-06,6e-06,1
0.6,0.86,6.031391123878063e-06,6e-06,1
0.61,0.86,5.993619881900762e-06,6e-06,1
0.62,0.85,6.058370582433275e-06,6e-06,1
0.62,0.86,5.955848639923463e-06,6e-06,1
0.63,0.85,6.017901394600454e-06,6e-06,1
0.64,0.85,5.977432206767632e-06,6e-06,1
0.65,0.8400000000000001,6.031391123878061e-06,6e-06,1
0.66,0.8400000000000001,5.988223990189718e-06,6e-06,1
0.67,0.8300000000000001,6.034089069733583e-06,6e-06,1
0.67,0.8400000000000001,5.945056856501376e-06,6e-06,1
0.68,0.8300000000000001,5.988223990189718e-06,6e-06,1
0.6900000000000001,0.8300000000000001,5.942358910645855e-06,6e-06,1
0.6900000000000001,0.8200000000000001,6.025995232167017e-06,6e-06,1
0.7000000000000001,0.81,6.058370582433274e-06,6e-06,1
0.7000000000000001,0.8200000000000001,5.977432206767632e-06,6e-06,1
0.7100000000000001,0.81,6.007109611178368e-06,6e-06,1
0.72,0.8,6.031391123878061e-06,6e-06,1
0.72,0.81,5.955848639923463e-06,6e-06,1
