#EXPORTTYPE:                 ,DATA COMPARE                 
#FILE:                       ,sample1.ngb-ds3              
#FORMAT:                     ,NETZSCH5                     
#FTYPE:                      ,ANSI                         
#IDENTITY:                   ,putty                        
#DECIMAL:                    ,POINT                        
#SEPARATOR:                  ,COMMA                        
#MTYPE:                      ,CP                           
#INSTRUMENT:                 ,NETZSCH STA 449F3            
#PROJECT:                    ,Gen3CSP                      
#DATE/TIME:                  ,12/13/2022 3:59:26 PM (UTC-5)
#CORR. FILE:                 ,baseline2.ngb-bs3            
#TEMPCAL:                    ,TCALZERO.TCX                 
#SENSITIVITY:                ,SENSZERO.EXX                 
#LABORATORY:                 ,STEEL                        
#OPERATOR:                   ,MJA                          
#REMARK:                     ,                             
#SAMPLE:                     ,sample1                      
#SAMPLE MASS /mg:            ,35.9                         
#MATERIAL:                   ,                             
#REFERENCE:                  ,                             
#REFERENCE MASS /mg:         ,0                            
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0                            
#REFERENCE CRUCIBLE MASS /mg:,0                            
#DSC RANGE /�V:              ,5000                         
#TG RANGE /mg:               ,35000                        
#TAU-R:                      ,---                          
#CORR. CODE:                 ,00                           
#EXO:                        ,-1                           
#RANGE:                      ,25�C/15.0(K/min)/1180�C      
#SEGMENT:                    ,S1/7                         
#SEG. 1:                     ,25�C/15.0(K/min)/1180�C      
,,
##Temp./C,Cp(1)/(J/(g*K))
  36.67567,      1.06219
  36.69548,      1.06222
  36.71528,      1.06229
  36.73508,      1.06240
  36.75489,      1.06255
  36.77469,      1.06275
  36.79450,      1.06299
  36.81430,      1.06328
  36.83411,      1.06362
  36.85391,      1.06399
  36.87372,      1.06436
  36.89352,      1.06471
  36.91332,      1.06499
  36.93313,      1.06519
  36.95293,      1.06528
  36.97274,      1.06525
  36.99254,      1.06514
  37.01235,      1.06498
  37.03215,      1.06482
  37.05196,      1.06469
  37.07176,      1.06463
  37.09156,      1.06468
  37.11137,      1.06488
  37.13117,      1.06518
  37.15098,      1.06555
  37.17078,      1.06594
  37.19059,      1.06630
  37.21039,      1.06660
  37.23019,      1.06679
  37.25000,      1.06689
  37.26980,      1.06691
  37.28961,      1.06686
  37.30941,      1.06677
  37.32922,      1.06665
  37.34902,      1.06650
  37.36883,      1.06635
  37.38863,      1.06619
  37.40843,      1.06605
  37.42824,      1.06591
  37.44804,      1.06581
  37.46785,      1.06573
  37.48765,      1.06570
  37.50746,      1.06571
  37.52726,      1.06576
  37.54707,      1.06584
  37.56687,      1.06597
  37.58667,      1.06612
  37.60648,      1.06631
  37.62628,      1.06653
  37.64609,      1.06677
  37.66589,      1.06702
  37.68570,      1.06727
  37.70550,      1.06752
  37.72530,      1.06776
  37.74511,      1.06797
  37.76491,      1.06817
  37.78472,      1.06833
  37.80452,      1.06845
  37.82433,      1.06853
  37.84413,      1.06856
  37.86394,      1.06854
  37.88374,      1.06847
  37.90354,      1.06837
  37.92335,      1.06827
  37.94315,      1.06819
  37.96296,      1.06816
  37.98276,      1.06820
  38.00257,      1.06833
  38.02237,      1.06851
  38.04218,      1.06873
  38.06198,      1.06897
  38.08178,      1.06919
  38.10159,      1.06936
  38.12139,      1.06948
  38.14120,      1.06954
  38.16100,      1.06956
  38.18081,      1.06956
  38.20061,      1.06955
  38.22041,      1.06956
  38.24022,      1.06959
  38.26002,      1.06968
  38.27983,      1.06980
  38.29963,      1.06993
  38.31944,      1.07007
  38.33924,      1.07018
  38.35905,      1.07025
  38.37885,      1.07027
  38.39865,      1.07024
  38.41846,      1.07020
  38.43826,      1.07017
  38.45807,      1.07019
  38.47787,      1.07027
  38.49768,      1.07045
  38.51748,      1.07074
  38.53729,      1.07108
  38.55709,      1.07144
  38.57689,      1.07178
  38.59670,      1.07204
  38.61650,      1.07219
  38.63631,      1.07222
  38.65611,      1.07217
  38.67592,      1.07205
  38.69572,      1.07189
  38.71552,      1.07173
  38.73533,      1.07159
  38.75513,      1.07149
  38.77494,      1.07144
  38.79474,      1.07146
  38.81455,      1.07154
  38.83435,      1.07168
  38.85416,      1.07189
  38.87396,      1.07215
  38.89376,      1.07248
  38.91357,      1.07284
  38.93337,      1.07321
  38.95318,      1.07355
  38.97298,      1.07385
  38.99279,      1.07408
  39.01259,      1.07422
  39.03240,      1.07428
  39.05220,      1.07428
