#EXPORTTYPE:                 ,DATA COMPARE                 ,
#FILE:                       ,sample1.ngb-ds3              ,
#FORMAT:                     ,NETZSCH5                     ,
#FTYPE:                      ,ANSI                         ,
#IDENTITY:                   ,graphite                     ,
#DECIMAL:                    ,POINT                        ,
#SEPARATOR:                  ,COMMA                        ,
#MTYPE:                      ,CP                           ,
#INSTRUMENT:                 ,NETZSCH STA 449F3            ,
#PROJECT:                    ,Gen3CSP                      ,
#DATE/TIME:                  ,12/9/2022 11:00:47 AM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3            ,
#TEMPCAL:                    ,TCALZERO.TCX                 ,
#SENSITIVITY:                ,SENSZERO.EXX                 ,
#LABORATORY:                 ,STEEL                        ,
#OPERATOR:                   ,MJA                          ,
#REMARK:                     ,                             ,
#SAMPLE:                     ,sample1                      ,
#SAMPLE MASS /mg:            ,51,
#MATERIAL:                   ,                             ,
#REFERENCE:                  ,                             ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                          ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C     ,
#SEGMENT:                    ,S5/7                         ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C     ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
145.88615,-1.65141,
145.90595,-1.65292,
145.92576,-1.65442,
145.94556,-1.65592,
145.96537,-1.65741,
145.98517,-1.65891,
146.00498,-1.66042,
146.02478,-1.66195,
146.04458,-1.6635,
146.06439,-1.66508,
146.08419,-1.66668,
146.104,-1.66829,
146.1238,-1.66989,
146.14361,-1.67149,
146.16341,-1.67305,
146.18322,-1.67458,
146.20302,-1.67606,
146.22282,-1.67747,
146.24263,-1.67883,
146.26243,-1.68015,
146.28224,-1.68145,
146.30204,-1.68274,
146.32185,-1.68404,
146.34165,-1.68538,
146.36145,-1.68677,
146.38126,-1.68823,
146.40106,-1.68977,
146.42087,-1.69139,
146.44067,-1.69307,
146.46048,-1.69478,
146.48028,-1.69652,
146.50009,-1.69825,
146.51989,-1.69996,
146.53969,-1.70162,
146.5595,-1.70324,
146.5793,-1.7048,
146.59911,-1.70634,
146.61891,-1.70785,
146.63872,-1.70936,
146.65852,-1.71089,
146.67833,-1.71243,
146.69813,-1.71402,
146.71793,-1.71565,
146.73774,-1.71732,
146.75754,-1.719,
146.77735,-1.7207,
146.79715,-1.72239,
146.81696,-1.72405,
146.83676,-1.72567,
146.85656,-1.72725,
146.87637,-1.72875,
146.89617,-1.73019,
146.91598,-1.73157,
146.93578,-1.7329,
146.95559,-1.7342,
146.97539,-1.73547,
146.9952,-1.73672,
147.015,-1.73797,
147.0348,-1.73922,
147.05461,-1.74049,
147.07441,-1.74176,
147.09422,-1.74305,
147.11402,-1.74434,
147.13383,-1.74564,
147.15363,-1.74694,
147.17344,-1.74824,
147.19324,-1.74953,
147.21304,-1.75083,
147.23285,-1.75211,
147.25265,-1.7534,
147.27246,-1.75468,
147.29226,-1.75597,
147.31207,-1.75727,
147.33187,-1.75859,
147.35167,-1.75992,
147.37148,-1.76128,
147.39128,-1.76266,
147.41109,-1.76406,
147.43089,-1.76547,
147.4507,-1.7669,
147.4705,-1.76833,
147.49031,-1.76975,
147.51011,-1.77116,
147.52991,-1.77255,
147.54972,-1.77392,
147.56952,-1.77526,
147.58933,-1.77658,
147.60913,-1.77787,
147.62894,-1.77915,
147.64874,-1.78042,
147.66855,-1.78169,
147.68835,-1.78295,
147.70815,-1.78423,
147.72796,-1.78551,
147.74776,-1.78682,
147.76757,-1.78814,
147.78737,-1.78949,
147.80718,-1.79085,
147.82698,-1.79225,
147.84678,-1.79367,
147.86659,-1.79511,
147.88639,-1.79659,
147.9062,-1.7981,
147.926,-1.79964,
147.94581,-1.8012,
147.96561,-1.80277,
147.98542,-1.80435,
148.00522,-1.80592,
148.02502,-1.80747,
148.04483,-1.80901,
148.06463,-1.8105,
148.08444,-1.81197,
148.10424,-1.81339,
148.12405,-1.81477,
148.14385,-1.81611,
148.16366,-1.8174,
148.18346,-1.81865,
148.20326,-1.81984,
148.22307,-1.82098,
148.24287,-1.82207,
148.26268,-1.82312,
148.28248,-1.82416,
148.30229,-1.8252,
148.32209,-1.82626,
148.34189,-1.82736,
148.3617,-1.82852,
148.3815,-1.82976,
148.40131,-1.83109,
148.42111,-1.83252,
148.44092,-1.83404,
148.46072,-1.83561,
148.48053,-1.83721,
148.50033,-1.83882,
148.52013,-1.8404,
148.53994,-1.84193,
148.55974,-1.84338,
148.57955,-1.84473,
148.59935,-1.84599,
148.61916,-1.84717,
148.63896,-1.8483,
148.65877,-1.84938,
148.67857,-1.85045,
148.69837,-1.85153,
148.71818,-1.85262,
148.73798,-1.85376,
148.75779,-1.85494,
148.77759,-1.85617,
148.7974,-1.85744,
148.8172,-1.85875,
148.837,-1.86009,
148.85681,-1.86145,
148.87661,-1.86283,
148.89642,-1.86422,
148.91622,-1.86562,
148.93603,-1.86703,
148.95583,-1.86843,
148.97564,-1.86981,
148.99544,-1.87118,
149.01524,-1.87252,
149.03505,-1.87383,
149.05485,-1.8751,
149.07466,-1.87632,
149.09446,-1.87748,
149.11427,-1.8786,
149.13407,-1.87969,
149.15388,-1.88075,
149.17368,-1.88181,
149.19348,-1.88288,
149.21329,-1.88397,
149.23309,-1.88508,
149.2529,-1.88625,
149.2727,-1.88747,
149.29251,-1.88873,
149.31231,-1.89002,
149.33211,-1.89132,
149.35192,-1.8926,
149.37172,-1.89385,
149.39153,-1.89504,
149.41133,-1.89615,
149.43114,-1.89718,
149.45094,-1.89812,
149.47075,-1.89901,
149.49055,-1.89987,
149.51035,-1.90073,
149.53016,-1.9016,
149.54996,-1.90252,
149.56977,-1.90351,
149.58957,-1.9046,
149.60938,-1.9058,
149.62918,-1.90713,
149.64899,-1.90855,
149.66879,-1.91004,
149.68859,-1.91158,
149.7084,-1.91313,
149.7282,-1.91468,
149.74801,-1.9162,
149.76781,-1.91766,
149.78762,-1.91904,
149.80742,-1.92036,
149.82722,-1.92161,
149.84703,-1.92282,
149.86683,-1.92399,
149.88664,-1.92513,
149.90644,-1.92625,
149.92625,-1.92737,
149.94605,-1.92849,
149.96586,-1.92963,
149.98566,-1.93077,
150.00546,-1.93191,
150.02527,-1.93304,
150.04507,-1.93416,
150.06488,-1.93527,
150.08468,-1.93637,
150.10449,-1.93743,
150.12429,-1.93847,
150.1441,-1.93949,
150.1639,-1.94048,
150.1837,-1.94146,
150.20351,-1.94242,
150.22331,-1.94338,
150.24312,-1.94433,
150.26292,-1.94529,
150.28273,-1.94625,
150.30253,-1.94723,
150.32233,-1.94821,
150.34214,-1.94921,
150.36194,-1.95023,
150.38175,-1.95125,
150.40155,-1.95229,
150.42136,-1.95335,
150.44116,-1.95442,
150.46097,-1.9555,
150.48077,-1.9566,
150.50057,-1.95771,
150.52038,-1.95884,
150.54018,-1.95998,
150.55999,-1.96113,
150.57979,-1.96229,
150.5996,-1.96347,
150.6194,-1.96465,
150.63921,-1.96584,
150.65901,-1.96705,
150.67881,-1.96825,
150.69862,-1.96946,
150.71842,-1.97067,
150.73823,-1.97187,
150.75803,-1.97306,
150.77784,-1.97424,
150.79764,-1.9754,
150.81744,-1.97653,
150.83725,-1.97764,
150.85705,-1.97873,
150.87686,-1.9798,
150.89666,-1.98086,
150.91647,-1.9819,
150.93627,-1.98292,
150.95608,-1.98394,
150.97588,-1.98496,
150.99568,-1.98596,
151.01549,-1.98697,
151.03529,-1.98798,
151.0551,-1.98899,
151.0749,-1.99001,
151.09471,-1.99104,
151.11451,-1.99207,
151.13432,-1.99313,
151.15412,-1.9942,
151.17392,-1.99529,
151.19373,-1.99639,
151.21353,-1.9975,
151.23334,-1.9986,
151.25314,-1.99967,
151.27295,-2.00072,
151.29275,-2.00172,
151.31255,-2.00267,
151.33236,-2.00355,
151.35216,-2.00435,
151.37197,-2.00507,
151.39177,-2.00574,
151.41158,-2.00637,
151.43138,-2.00699,
151.45119,-2.00763,
151.47099,-2.0083,
151.49079,-2.00902,
151.5106,-2.00983,
151.5304,-2.01073,
151.55021,-2.01176,
151.57001,-2.01291,
151.58982,-2.01415,
151.60962,-2.01546,
151.62943,-2.0168,
151.64923,-2.01816,
151.66903,-2.0195,
151.68884,-2.0208,
151.70864,-2.02203,
