Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha,Temperature_C.1,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI.1,RandomUncertai_scp,SystemUncertai_bcp,Thermal Conductivity (W/mK),k
260,7.432,0.9042409779999999,12.16685923,0.301637268,0.11148,260.0,1.221709159,0.043257192,3.540711103,0.005294831,0.02137991,14.52758795,14.479364900023464
280,7.247000000000001,0.881506791,12.16374763,0.294066532,0.108705,280.0,1.2509847040000002,0.044318535,3.542692029,0.005467849,0.021892232,14.50541784,14.491690417603158
300,7.0745,0.8551526629999999,12.0878177,0.285399318,0.10611749999999999,300.0,1.280507101,0.045212117999999996,3.530797925,0.005305992,0.022408874,14.49431598,14.484697193898109
320,6.91475,0.8545686240000001,12.3586337,0.28475870600000003,0.10372125,320.0,1.314046847,0.045688109000000005,3.476901093,0.003759626,0.02299582,14.53808869,14.465160086277045
340,6.76675,0.838925549,12.39776184,0.279486061,0.10150125,340.0,1.3411260329999999,0.047300338,3.526912194,0.005453382,0.023469706,14.52010334,14.436407556301226
360,6.629,0.818900704,12.35330674,0.272876231,0.099435,360.0,1.366800443,0.048543092999999995,3.551585966,0.006194553,0.023919008,14.49683221,14.39983125500574
380,6.5005,0.808877913,12.44331841,0.269396509,0.09750750000000001,380.0,1.392211066,0.048947005,3.515774735,0.005338441,0.024363693999999998,14.48010885,14.35713463754721
400,6.379,0.79285691,12.42917243,0.264078942,0.095685,400.0,1.413108695,0.05008492900000001,3.544308317,0.006218616,0.024729402,14.42275259,14.306612193619468
420,6.26425,0.782840925,12.49696172,0.26063768,0.09396375,420.0,1.435675746,0.051461846,3.584503418,0.00729042,0.025124326000000002,14.38949087,14.250430084817081
440,6.1575,0.772363963,12.54346672,0.257084333,0.0923625,440.0,1.456318148,0.052409483,3.5987660289999996,0.00770998,0.025485567999999997,14.3476464,14.19387255824054
460,6.05875,0.7631315040000001,12.5955272,0.253934457,0.09088125,460.0,1.4710331069999998,0.051384180999999994,3.493067593,0.004861448,0.025743079,14.26019494,14.139184888000699
480,5.96725,0.755396388,12.65903704,0.251273921,0.08950875,480.0,1.4832797830000002,0.051654202,3.482431463,0.004480892,0.025957396,14.16176205,14.0866006066255
500,5.8839999999999995,0.75256053,12.78994782,0.250150788,0.08826,500.0,1.489566556,0.051264261,3.441555577,0.002138769,0.026067415,14.02337538,14.04024244363552
520,5.7989999999999995,0.736783684,12.70535754,0.24502563600000002,0.086985,520.0,1.488392107,0.052527748,3.5291605969999997,0.006119161999999999,0.026046862,13.80989732,13.977638442254724
540,5.72325,0.741000016,12.94718937,0.246095637,0.08584875,540.0,1.481004121,0.056715519000000006,3.829531486,0.011698628,0.025917572000000003,13.56185093,13.926335100652246
560,5.648,0.7340187859999999,12.99608332,0.24371123600000003,0.08472,560.0,1.480407229,0.06843488,4.622706413,0.019222519,0.025907127000000002,13.37814405,13.866275311484454
580,5.574,0.7246983029999999,13.00140479,0.240610248,0.08361,580.0,1.473772901,0.080611374,5.469728357,0.024494755,0.025791026,13.14369624,13.800060591811256
600,5.50675,0.719098272,13.05848771,0.238680007,0.08260125,600.0,1.4783557440000001,0.078718592,5.324739467,0.023741872,0.025871226,13.02549679,13.742136882686971
620,5.44425,0.713538917,13.10628493,0.23677437399999998,0.08166375,620.0,1.478217165,0.08413858199999999,5.691895915,0.025787586,0.025868799999999997,12.87645408,13.688441292163871
640,5.38675,0.707803028,13.13970443,0.23482693100000002,0.08080125,640.0,1.475548893,0.08758004900000001,5.935421691,0.02701432,0.025822106,12.717460800000001,13.640378567528618
660,5.327000000000001,0.7029453509999999,13.19589547,0.23315097,0.07990499999999999,660.0,1.480986049,0.08985811099999999,6.067451582,0.027783894,0.025917256,12.62274029,13.580183253057154
680,5.272,0.700475761,13.28671778,0.23221429600000001,0.07908,680.0,1.483664099,0.10089812199999999,6.800604116000001,0.031331569,0.025964122000000003,12.51500341,13.526115038841747
700,5.22025,0.69202688,13.25658503,0.229456968,0.07830375,700.0,1.489069077,0.090280872,6.062906927999999,0.027912591,0.026058709,12.43730056,13.4749061670121
720,5.17,0.68886603,13.32429459,0.22832492399999998,0.07755,720.0,1.4902107230000001,0.082834724,5.558591356,0.025266503,0.026078688,12.3270231,13.422500215452565
740,5.122999999999999,0.689261806,13.45426129,0.228306765,0.07684500000000001,740.0,1.4898912880000001,0.085787924,5.757998933,0.026346075,0.026073098,12.21234091,13.373838164715854
760,5.07625,0.6846919840000001,13.48814545,0.226756937,0.07614375,760.0,1.491489461,0.08457704,5.670642821,0.025903925,0.026101066000000003,12.1138774,13.321462550962048
