##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,6 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,6
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
115,780.0,Standard + p.c.(l),3.355,0.3,250.0,0.60,311.0,7.638,2823926.0,2.098
116,780.0,Standard + p.c.(l),3.369,0.2,250.0,0.60,308.7,7.456,2823926.0,2.066
117,780.0,Standard + p.c.(l),3.348,0.3,250.0,0.60,309.4,7.646,2823926.0,2.098
#Mean,780.0,,3.358,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
118,800.0,Standard + p.c.(l),3.363,0.2,250.0,0.60,308.4,7.685,2823926.0,1.949
119,800.0,Standard + p.c.(l),3.348,0.3,250.0,0.60,309.4,7.945,2823926.0,2.105
120,800.0,Standard + p.c.(l),3.383,0.2,250.0,0.60,309.1,7.848,2823926.0,2.107
#Mean,800.0,,3.365,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
121,820.0,Standard + p.c.(l),3.380,0.3,250.0,0.60,308.0,8.046,2823926.0,1.881
122,820.0,Standard + p.c.(l),3.388,0.3,250.0,0.60,309.2,8.229,2823926.0,1.911
123,820.0,Standard + p.c.(l),3.362,0.3,250.0,0.60,310.2,7.061,2395643.6,2.088
#Mean,820.0,,3.377,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
124,840.0,Standard + p.c.(l),3.347,0.4,250.0,0.60,308.5,7.204,2395643.6,2.075
125,840.0,Standard + p.c.(l),3.336,0.3,250.0,0.60,309.6,7.053,2395643.6,1.936
126,840.0,Standard + p.c.(l),3.340,0.4,250.0,0.60,309.0,7.067,2395643.6,2.127
#Mean,840.0,,3.341,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
127,860.0,Standard + p.c.(l),3.372,0.3,250.0,0.60,306.7,7.406,2395643.6,2.119
128,860.0,Standard + p.c.(l),3.366,0.3,250.0,0.60,307.7,7.214,2395643.6,2.102
129,860.0,Standard + p.c.(l),3.365,0.3,250.0,0.60,306.4,7.303,2395643.6,2.124
#Mean,860.0,,3.368,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
130,880.0,Standard + p.c.(l),3.366,0.3,250.0,0.60,307.0,7.56,2395643.6,2.075
131,880.0,Standard + p.c.(l),3.371,0.3,250.0,0.60,306.0,7.594,2395643.6,2.097
132,880.0,Standard + p.c.(l),3.352,0.3,250.0,0.60,306.8,7.509,2395643.6,1.898
#Mean,880.0,,3.363,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
133,900.0,Standard + p.c.(l),3.388,0.3,250.0,0.60,306.3,7.626,2395643.6,1.942
134,900.0,Standard + p.c.(l),3.352,0.5,250.0,0.60,306.9,7.418,2395643.6,1.918
135,900.0,Standard + p.c.(l),3.367,0.3,250.0,0.60,306.4,7.678,2395643.6,1.889
#Mean,900.0,,3.369,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
136,920.0,Standard + p.c.(l),3.368,0.3,250.0,0.60,303.7,7.858,2395643.6,1.916
137,920.0,Standard + p.c.(l),3.368,0.4,250.0,0.60,304.5,8.03,2395643.6,2.078
138,920.0,Standard + p.c.(l),3.401,0.3,250.0,0.60,301.7,7.929,2395643.6,2.078
#Mean,920.0,,3.379,,,,,,,
#Std_Dev,0.0,,0.019,,,,,,,
139,940.0,Standard + p.c.(l),3.413,0.3,250.0,0.60,299.6,8.149,2395643.6,2.066
140,940.0,Standard + p.c.(l),3.430,0.3,250.0,0.60,300.3,8.092,2395643.6,2.052
141,940.0,Standard + p.c.(l),3.425,0.2,250.0,0.60,300.1,8.083,2395643.6,1.896
#Mean,940.0,,3.423,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
142,960.0,Standard + p.c.(l),3.459,0.3,250.0,0.60,297.3,8.313,2395643.6,2.099
143,960.0,Standard + p.c.(l),3.451,0.2,250.0,0.60,297.4,7.108,2078362.5,1.925
144,960.0,Standard + p.c.(l),3.455,0.3,250.0,0.60,297.8,7.295,2078362.5,2.114
