##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
57,380.0,Standard + p.c.(l),5.591,1.3,250.0,0.60,61.8,6.635,4759215.1,2.097
#Mean,380.0,,5.596,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
58,400.0,Standard + p.c.(l),5.642,1.0,250.0,0.60,61.3,7.229,4759215.1,2.081
59,400.0,Standard + p.c.(l),5.618,1.3,250.0,0.60,61.6,6.085,3943327.0,2.066
60,400.0,Standard + p.c.(l),5.644,1.2,250.0,0.60,61.3,6.028,3943327.0,2.035
#Mean,400.0,,5.635,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
61,420.0,Standard + p.c.(l),5.676,1.3,250.0,0.60,61.0,6.661,3943327.0,2.084
62,420.0,Standard + p.c.(l),5.673,1.3,250.0,0.60,61.0,6.447,3943327.0,2.055
63,420.0,Standard + p.c.(l),5.654,1.3,250.0,0.60,61.3,6.393,3943327.0,1.909
#Mean,420.0,,5.668,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
64,440.0,Standard + p.c.(l),5.713,1.2,250.0,0.60,60.5,7.158,3943327.0,2.079
65,440.0,Standard + p.c.(l),5.682,1.2,250.0,0.60,60.9,5.872,3305010.4,1.928
66,440.0,Standard + p.c.(l),5.706,1.2,250.0,0.60,60.6,6.06,3305010.4,2.048
#Mean,440.0,,5.700,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
67,460.0,Standard + p.c.(l),5.770,1.2,250.0,0.60,59.8,6.564,3305010.4,2.108
68,460.0,Standard + p.c.(l),5.747,1.2,250.0,0.60,60.1,6.636,3305010.4,2.075
69,460.0,Standard + p.c.(l),5.760,1.2,250.0,0.60,59.9,6.494,3305010.4,2.009
#Mean,460.0,,5.759,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
70,480.0,Standard + p.c.(l),5.790,1.2,250.0,0.60,59.6,6.867,3305010.4,1.908
