##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P3 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P3
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
75,500.0,Standard + p.c.(l),1.783,0.6,250.0,0.60,651.5,4.522,5086586.9,2.03
#Mean,500.0,,1.794,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
76,520.0,Standard + p.c.(l),1.889,0.7,250.0,0.60,615.3,4.839,5086586.9,2.056
77,520.0,Standard + p.c.(l),1.863,0.7,250.0,0.60,620.3,4.9,5086586.9,2.06
78,520.0,Standard + p.c.(l),1.869,0.7,250.0,0.60,620.0,4.737,5086586.9,1.892
#Mean,520.0,,1.874,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
79,540.0,Standard + p.c.(l),2.005,0.8,250.0,0.60,580.8,5.25,5086586.9,2.022
80,540.0,Standard + p.c.(l),1.975,0.7,250.0,0.60,591.2,5.052,5086586.9,1.914
81,540.0,Standard + p.c.(l),1.964,0.6,250.0,0.60,594.4,5.083,5086586.9,2.042
#Mean,540.0,,1.981,,,,,,,
#Std_Dev,0.0,,0.021,,,,,,,
82,560.0,Standard + p.c.(l),2.119,0.8,250.0,0.60,553.8,5.489,5086586.9,1.896
83,560.0,Standard + p.c.(l),2.077,0.7,250.0,0.60,559.9,5.605,5086586.9,2.069
84,560.0,Standard + p.c.(l),2.077,0.6,250.0,0.60,559.8,5.574,5086586.9,2.07
#Mean,560.0,,2.091,,,,,,,
#Std_Dev,0.0,,0.025,,,,,,,
85,580.0,Standard + p.c.(l),2.207,0.7,250.0,0.60,529.9,5.941,5086586.9,2.058
86,580.0,Standard + p.c.(l),2.163,0.7,250.0,0.60,537.4,6.007,5086586.9,1.895
87,580.0,Standard + p.c.(l),2.155,0.7,250.0,0.60,537.9,5.974,5086586.9,2.063
#Mean,580.0,,2.175,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
88,600.0,Standard + p.c.(l),2.280,0.7,250.0,0.60,511.0,6.389,5086586.9,2.025
89,600.0,Standard + p.c.(l),2.288,0.6,250.0,0.60,513.7,6.319,5086586.9,2.078
90,600.0,Standard + p.c.(l),2.258,0.7,250.0,0.60,517.1,6.339,5086586.9,2.054
#Mean,600.0,,2.275,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
91,620.0,Standard + p.c.(l),2.368,0.7,250.0,0.60,496.9,6.562,5086586.9,1.915
92,620.0,Standard + p.c.(l),2.380,0.6,250.0,0.60,493.9,6.747,5086586.9,2.066
93,620.0,Standard + p.c.(l),2.349,0.6,250.0,0.60,498.0,6.714,5086586.9,2.07
#Mean,620.0,,2.366,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
94,640.0,Standard + p.c.(l),2.450,0.7,250.0,0.60,478.3,7.171,5086586.9,2.05
95,640.0,Standard + p.c.(l),2.405,0.6,250.0,0.60,484.1,7.257,5086586.9,2.003
96,640.0,Standard + p.c.(l),2.412,0.6,250.0,0.60,482.6,7.256,5086586.9,2.05
#Mean,640.0,,2.422,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,
97,660.0,Standard + p.c.(l),2.542,0.9,250.0,0.60,462.2,7.749,5086586.9,2.05
