##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,3 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,3
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0100
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
61,420.0,Standard + p.c.(l),3.520,0.1,250.0,0.60,334.3,8.509,9293924.0,1.927
62,420.0,Standard + p.c.(l),3.521,0.1,250.0,0.60,334.5,6.647,7360199.6,1.934
63,420.0,Standard + p.c.(l),3.522,0.1,250.0,0.60,334.1,6.61,7360199.6,1.926
#Mean,420.0,,3.521,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
64,440.0,Standard + p.c.(l),3.482,0.1,250.0,0.60,336.9,7.149,7360199.6,1.907
65,440.0,Standard + p.c.(l),3.485,0.1,250.0,0.60,337.3,7.154,7360199.6,1.904
66,440.0,Standard + p.c.(l),3.483,0.1,250.0,0.60,337.1,7.205,7360199.6,1.917
#Mean,440.0,,3.484,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
67,460.0,Standard + p.c.(l),3.453,0.1,250.0,0.60,340.1,7.655,7360199.6,1.921
68,460.0,Standard + p.c.(l),3.448,0.1,250.0,0.60,340.5,7.674,7360199.6,1.918
69,460.0,Standard + p.c.(l),3.453,0.1,250.0,0.60,340.3,7.543,7360199.6,1.916
#Mean,460.0,,3.452,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
70,480.0,Standard + p.c.(l),3.425,0.1,250.0,0.60,342.0,8.092,7360199.6,1.945
71,480.0,Standard + p.c.(l),3.420,0.1,250.0,0.60,342.4,6.98,6196209.7,2.022
72,480.0,Standard + p.c.(l),3.425,0.1,250.0,0.60,341.6,6.957,6196209.7,2.098
#Mean,480.0,,3.423,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
73,500.0,Standard + p.c.(l),3.393,0.1,250.0,0.60,344.5,6.049,5086586.9,1.922
74,500.0,Standard + p.c.(l),3.388,0.1,250.0,0.60,345.1,6.075,5086586.9,1.92
75,500.0,Standard + p.c.(l),3.394,0.1,250.0,0.60,345.2,6.031,5086586.9,1.921
#Mean,500.0,,3.392,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
76,520.0,Standard + p.c.(l),3.376,0.1,250.0,0.60,346.3,6.444,5086586.9,1.903
77,520.0,Standard + p.c.(l),3.365,0.1,250.0,0.60,346.5,6.428,5086586.9,1.916
78,520.0,Standard + p.c.(l),3.363,0.1,250.0,0.60,347.6,6.497,5086586.9,1.925
#Mean,520.0,,3.368,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
79,540.0,Standard + p.c.(l),3.355,0.1,250.0,0.60,348.2,6.971,5086586.9,1.918
80,540.0,Standard + p.c.(l),3.351,0.1,250.0,0.60,348.2,6.816,5086586.9,1.91
81,540.0,Standard + p.c.(l),3.351,0.1,250.0,0.60,348.0,6.948,5086586.9,1.913
#Mean,540.0,,3.352,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
82,560.0,Standard + p.c.(l),3.329,0.1,250.0,0.60,350.4,7.163,5086586.9,1.91
83,560.0,Standard + p.c.(l),3.339,0.1,250.0,0.60,349.1,7.223,5086586.9,1.916
84,560.0,Standard + p.c.(l),3.330,0.1,250.0,0.60,350.2,7.184,5086586.9,1.926
#Mean,560.0,,3.333,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
85,580.0,Standard + p.c.(l),3.322,0.2,250.0,0.60,350.6,7.511,5086586.9,1.913
86,580.0,Standard + p.c.(l),3.317,0.1,250.0,0.60,350.2,7.647,5086586.9,1.926
87,580.0,Standard + p.c.(l),3.316,0.1,250.0,0.60,351.3,7.587,5086586.9,1.9
#Mean,580.0,,3.318,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
88,600.0,Standard + p.c.(l),3.317,0.1,250.0,0.60,350.8,8.036,5086586.9,1.916
89,600.0,Standard + p.c.(l),3.320,0.1,250.0,0.60,350.3,7.068,4393825.7,2.087
90,600.0,Standard + p.c.(l),3.305,0.1,250.0,0.60,351.3,7.045,4393825.7,1.911
#Mean,600.0,,3.314,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
91,620.0,Standard + p.c.(l),3.303,0.1,250.0,0.60,352.1,7.326,4393825.7,1.907
92,620.0,Standard + p.c.(l),3.290,0.1,250.0,0.60,351.6,7.235,4393825.7,1.938
93,620.0,Standard + p.c.(l),3.298,0.1,250.0,0.60,351.6,7.349,4393825.7,1.912
#Mean,620.0,,3.297,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
94,640.0,Standard + p.c.(l),3.304,0.2,250.0,0.60,351.0,7.654,4393825.7,2.038
95,640.0,Standard + p.c.(l),3.297,0.1,250.0,0.60,352.5,7.652,4393825.7,1.915
96,640.0,Standard + p.c.(l),3.294,0.2,250.0,0.60,352.1,7.601,4393825.7,1.911
#Mean,640.0,,3.298,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
