##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P1 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P1
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.2000
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
151,1020.0,Standard + p.c.(l),2.978,1.1,250.0,0.60,419.7,8.014,3005095.5,1.888
152,1020.0,Standard + p.c.(l),2.893,1.2,250.0,0.60,423.7,8.103,3005095.5,2.038
153,1020.0,Standard + p.c.(l),2.909,0.8,250.0,0.60,431.8,7.947,3005095.5,2.067
#Mean,1020.0,,2.927,,,,,,,
#Std_Dev,0.0,,0.045,,,,,,,
154,1040.0,Standard + p.c.(l),3.020,0.7,250.0,0.60,412.1,8.152,3005095.5,1.9
155,1040.0,Standard + p.c.(l),2.975,0.6,250.0,0.60,419.0,7.94,3005095.5,1.901
156,1040.0,Standard + p.c.(l),2.937,0.5,250.0,0.60,422.1,8.076,3005095.5,2.079
#Mean,1040.0,,2.977,,,,,,,
#Std_Dev,0.0,,0.041,,,,,,,
157,1060.0,Standard + p.c.(l),3.030,0.7,250.0,0.60,408.9,8.202,3005095.5,2.038
158,1060.0,Standard + p.c.(l),2.921,0.6,250.0,0.60,417.2,8.452,3005095.5,2.045
159,1060.0,Standard + p.c.(l),2.990,0.6,250.0,0.60,415.8,8.262,3005095.5,2.062
#Mean,1060.0,,2.981,,,,,,,
#Std_Dev,0.0,,0.055,,,,,,,
160,1080.0,Standard + p.c.(l),3.073,1.0,250.0,0.60,410.1,8.786,3005095.5,1.902
161,1080.0,Standard + p.c.(l),2.940,0.6,250.0,0.60,413.0,8.561,3005095.5,2.057
162,1080.0,Standard + p.c.(l),2.996,0.7,250.0,0.60,410.0,8.55,3005095.5,1.882
#Mean,1080.0,,3.003,,,,,,,
#Std_Dev,0.0,,0.067,,,,,,,
163,1100.0,Standard + p.c.(l),3.323,1.2,250.0,0.60,381.0,8.959,3005095.5,2.041
164,1100.0,Standard + p.c.(l),3.131,0.8,250.0,0.60,399.6,8.654,3005095.5,2.058
165,1100.0,Standard + p.c.(l),3.004,0.7,250.0,0.60,408.1,8.884,3005095.5,2.068
#Mean,1100.0,,3.153,,,,,,,
#Std_Dev,0.0,,0.161,,,,,,,
166,1120.0,Standard + p.c.(l),3.306,1.2,250.0,0.60,388.2,9.062,3005095.5,1.875
167,1120.0,Standard + p.c.(l),3.129,0.8,250.0,0.60,399.3,7.536,2534493.2,2.053
168,1120.0,Standard + p.c.(l),3.070,0.6,250.0,0.60,400.5,7.752,2534493.2,1.943
#Mean,1120.0,,3.168,,,,,,,
#Std_Dev,0.0,,0.123,,,,,,,
169,1140.0,Standard + p.c.(l),3.457,1.5,250.0,0.60,367.7,8.076,2534493.2,1.907
170,1140.0,Standard + p.c.(l),3.185,0.8,250.0,0.60,391.8,7.915,2534493.2,1.858
171,1140.0,Standard + p.c.(l),3.032,0.7,250.0,0.60,402.3,7.761,2534493.2,2.03
#Mean,1140.0,,3.224,,,,,,,
#Std_Dev,0.0,,0.215,,,,,,,
172,1160.0,Standard + p.c.(l),3.392,1.3,250.0,0.60,374.2,8.365,2534493.2,1.899
173,1160.0,Standard + p.c.(l),3.104,0.8,250.0,0.60,394.2,8.395,2534493.2,1.906
174,1160.0,Standard + p.c.(l),3.020,0.7,250.0,0.60,394.6,8.025,2534493.2,1.876
#Mean,1160.0,,3.172,,,,,,,
#Std_Dev,0.0,,0.195,,,,,,,
175,1180.0,Standard + p.c.(l),3.464,1.4,250.0,0.60,368.4,8.38,2534493.2,2.116
176,1180.0,Standard + p.c.(l),3.208,0.9,250.0,0.60,388.1,8.319,2534493.2,1.865
177,1180.0,Standard + p.c.(l),3.155,0.8,250.0,0.60,391.0,8.433,2534493.2,1.893
#Mean,1180.0,,3.276,,,,,,,
#Std_Dev,0.0,,0.165,,,,,,,

