##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,01 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,01
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
88,600.0,Standard + p.c.(l),4.241,0.2,250.0,0.60,120.5,6.958,2619680.2,1.942
89,600.0,Standard + p.c.(l),4.237,0.1,250.0,0.60,120.4,7.072,2619680.2,2.09
90,600.0,Standard + p.c.(l),4.241,0.1,250.0,0.60,120.3,7.187,2619680.2,2.086
#Mean,600.0,,4.240,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
91,620.0,Standard + p.c.(l),4.281,0.2,250.0,0.60,119.5,7.393,2619680.2,1.908
92,620.0,Standard + p.c.(l),4.278,0.2,250.0,0.60,119.3,7.629,2619680.2,2.088
93,620.0,Standard + p.c.(l),4.273,0.1,250.0,0.60,119.5,6.551,2260705.3,2.102
#Mean,620.0,,4.277,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
94,640.0,Standard + p.c.(l),4.288,0.2,250.0,0.60,119.1,6.772,2260705.3,2.093
95,640.0,Standard + p.c.(l),4.283,0.1,250.0,0.60,119.1,6.633,2260705.3,1.945
96,640.0,Standard + p.c.(l),4.270,0.2,250.0,0.60,119.3,6.581,2260705.3,1.927
#Mean,640.0,,4.281,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
97,660.0,Standard + p.c.(l),4.313,0.2,250.0,0.60,118.2,7.055,2260705.3,1.901
98,660.0,Standard + p.c.(l),4.307,0.2,250.0,0.60,118.4,6.898,2260705.3,1.941
99,660.0,Standard + p.c.(l),4.308,0.2,250.0,0.60,118.2,7.13,2260705.3,2.096
#Mean,660.0,,4.309,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
100,680.0,Standard + p.c.(l),4.351,0.2,250.0,0.60,117.2,7.316,2260705.3,1.924
101,680.0,Standard + p.c.(l),4.338,0.2,250.0,0.60,117.3,7.358,2260705.3,1.904
102,680.0,Standard + p.c.(l),4.331,0.2,250.0,0.60,117.5,7.231,2260705.3,1.891
#Mean,680.0,,4.340,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
103,700.0,Standard + p.c.(l),4.382,0.2,250.0,0.60,116.1,7.714,2260705.3,2.073
104,700.0,Standard + p.c.(l),4.382,0.2,250.0,0.60,116.5,6.398,1928170.4,1.935
105,700.0,Standard + p.c.(l),4.381,0.2,250.0,0.60,116.2,6.494,1928170.4,2.077
#Mean,700.0,,4.382,,,,,,,
#Std_Dev,0.0,,0.000,,,,,,,
106,720.0,Standard + p.c.(l),4.410,0.2,250.0,0.60,115.5,6.623,1928170.4,1.942
107,720.0,Standard + p.c.(l),4.405,0.2,250.0,0.60,115.3,6.868,1928170.4,2.111
108,720.0,Standard + p.c.(l),4.410,0.2,250.0,0.60,115.4,6.798,1928170.4,2.12
#Mean,720.0,,4.408,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
109,740.0,Standard + p.c.(l),4.474,0.2,250.0,0.60,114.0,7.115,1928170.4,2.082
110,740.0,Standard + p.c.(l),4.463,0.2,250.0,0.60,114.1,7.135,1928170.4,2.111
111,740.0,Standard + p.c.(l),4.455,0.2,250.0,0.60,114.3,7.107,1928170.4,2.066
#Mean,740.0,,4.464,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
112,760.0,Standard + p.c.(l),4.457,0.2,250.0,0.60,114.2,7.404,1928170.4,2.056
113,760.0,Standard + p.c.(l),4.450,0.2,250.0,0.60,114.4,7.441,1928170.4,2.071
