##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,1 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,1
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9800
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
52,360.0,Standard + p.c.(l),46.309,0.9,250.0,0.60,25.8,6.699,8624317.0,1.959
53,360.0,Standard + p.c.(l),46.385,0.9,250.0,0.60,25.7,6.727,8624317.0,1.92
54,360.0,Standard + p.c.(l),46.305,0.9,250.0,0.60,25.7,6.612,8624317.0,1.94
#Mean,360.0,,46.333,,,,,,,
#Std_Dev,0.0,,0.045,,,,,,,
55,380.0,Standard + p.c.(l),44.762,0.8,250.0,0.60,26.7,7.324,8624317.0,1.913
56,380.0,Standard + p.c.(l),44.879,0.9,250.0,0.60,26.6,6.305,7209224.9,1.934
57,380.0,Standard + p.c.(l),44.788,0.9,250.0,0.60,26.7,6.24,7209224.9,1.935
#Mean,380.0,,44.810,,,,,,,
#Std_Dev,0.0,,0.061,,,,,,,
58,400.0,Standard + p.c.(l),43.308,0.9,250.0,0.60,27.6,6.867,7209224.9,2.121
59,400.0,Standard + p.c.(l),43.094,0.9,250.0,0.60,27.8,6.703,7209224.9,1.954
60,400.0,Standard + p.c.(l),43.107,0.9,250.0,0.60,27.7,6.741,7209224.9,1.933
#Mean,400.0,,43.170,,,,,,,
#Std_Dev,0.0,,0.120,,,,,,,
61,420.0,Standard + p.c.(l),42.145,0.8,250.0,0.60,28.5,7.34,7209224.9,1.916
62,420.0,Standard + p.c.(l),42.016,0.9,250.0,0.60,28.5,6.236,6057751.5,1.924
63,420.0,Standard + p.c.(l),42.057,1.0,250.0,0.60,28.5,6.268,6057751.5,1.908
#Mean,420.0,,42.073,,,,,,,
#Std_Dev,0.0,,0.066,,,,,,,
64,440.0,Standard + p.c.(l),40.590,0.8,250.0,0.60,29.5,6.632,6057751.5,1.911
65,440.0,Standard + p.c.(l),40.704,0.7,250.0,0.60,29.4,6.672,6057751.5,1.947
66,440.0,Standard + p.c.(l),40.754,0.8,250.0,0.60,29.4,6.873,6057751.5,1.91
#Mean,440.0,,40.682,,,,,,,
#Std_Dev,0.0,,0.084,,,,,,,
67,460.0,Standard + p.c.(l),39.454,0.9,250.0,0.60,30.5,7.195,6057751.5,1.952
68,460.0,Standard + p.c.(l),39.514,0.7,250.0,0.60,30.3,6.178,5132348.6,1.924
69,460.0,Standard + p.c.(l),39.549,0.9,250.0,0.60,30.4,6.028,5132348.6,1.92
#Mean,460.0,,39.506,,,,,,,
#Std_Dev,0.0,,0.048,,,,,,,
70,480.0,Standard + p.c.(l),38.473,0.8,250.0,0.60,31.2,6.581,5132348.6,1.909
