##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,7 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,7
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Std_Dev,0.0,,0.013,,,,,,,
94,640.0,Standard + p.c.(l),3.097,0.2,250.0,0.60,361.9,8.068,4246762.2,1.927
95,640.0,Standard + p.c.(l),3.088,0.2,250.0,0.60,362.1,8.002,4246762.2,1.926
96,640.0,Standard + p.c.(l),3.089,0.2,250.0,0.60,361.8,7.966,4246762.2,1.898
#Mean,640.0,,3.092,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
97,660.0,Standard + p.c.(l),3.082,0.2,250.0,0.60,362.0,8.494,4246762.2,2.087
98,660.0,Standard + p.c.(l),3.080,0.2,250.0,0.60,362.9,7.171,3582396.5,1.94
99,660.0,Standard + p.c.(l),3.075,0.2,250.0,0.60,363.4,7.186,3582396.5,1.907
#Mean,660.0,,3.079,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
100,680.0,Standard + p.c.(l),3.085,0.2,250.0,0.60,362.7,7.568,3582396.5,2.108
101,680.0,Standard + p.c.(l),3.062,0.2,250.0,0.60,363.0,7.366,3582396.5,1.916
102,680.0,Standard + p.c.(l),3.060,0.2,250.0,0.60,363.1,7.383,3582396.5,1.941
#Mean,680.0,,3.069,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
103,700.0,Standard + p.c.(l),3.070,0.2,250.0,0.60,361.5,7.642,3582396.5,1.934
104,700.0,Standard + p.c.(l),3.091,0.2,250.0,0.60,360.9,7.817,3582396.5,2.096
105,700.0,Standard + p.c.(l),3.097,0.2,250.0,0.60,360.1,7.917,3582396.5,2.086
#Mean,700.0,,3.086,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
106,720.0,Standard + p.c.(l),3.076,0.2,250.0,0.60,361.3,8.137,3582396.5,2.048
107,720.0,Standard + p.c.(l),3.084,0.2,250.0,0.60,361.2,8.224,3582396.5,2.1
108,720.0,Standard + p.c.(l),3.079,0.2,250.0,0.60,360.4,8.282,3582396.5,2.097
#Mean,720.0,,3.080,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
109,740.0,Standard + p.c.(l),3.079,0.2,250.0,0.60,359.8,8.65,3582396.5,2.089
110,740.0,Standard + p.c.(l),3.087,0.2,250.0,0.60,359.4,7.234,3005095.5,2.103
111,740.0,Standard + p.c.(l),3.081,0.2,250.0,0.60,359.9,7.169,3005095.5,1.907
#Mean,740.0,,3.083,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
112,760.0,Standard + p.c.(l),3.085,0.2,250.0,0.60,358.7,7.382,3005095.5,1.904
113,760.0,Standard + p.c.(l),3.107,0.2,250.0,0.60,358.6,7.482,3005095.5,2.089
114,760.0,Standard + p.c.(l),3.086,0.2,250.0,0.60,358.8,7.448,3005095.5,2.104
#Mean,760.0,,3.093,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
115,780.0,Standard + p.c.(l),3.074,0.2,250.0,0.60,358.6,7.638,3005095.5,2.099
116,780.0,Standard + p.c.(l),3.083,0.2,250.0,0.60,358.1,7.529,3005095.5,1.93
117,780.0,Standard + p.c.(l),3.099,0.2,250.0,0.60,358.2,7.788,3005095.5,2.041
#Mean,780.0,,3.085,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
118,800.0,Standard + p.c.(l),3.092,0.2,250.0,0.60,357.6,7.835,3005095.5,2.073
119,800.0,Standard + p.c.(l),3.110,0.2,250.0,0.60,356.6,7.887,3005095.5,2.104
120,800.0,Standard + p.c.(l),3.100,0.2,250.0,0.60,357.2,7.986,3005095.5,2.094
#Mean,800.0,,3.101,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
121,820.0,Standard + p.c.(l),3.093,0.2,250.0,0.60,356.2,8.205,3005095.5,2.122
122,820.0,Standard + p.c.(l),3.090,0.2,250.0,0.60,356.2,8.271,3005095.5,2.081
123,820.0,Standard + p.c.(l),3.107,0.2,250.0,0.60,354.7,8.129,3005095.5,2.086
#Mean,820.0,,3.096,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
124,840.0,Standard + p.c.(l),3.071,0.2,250.0,0.60,356.1,8.481,3005095.5,2.071
125,840.0,Standard + p.c.(l),3.097,0.2,250.0,0.60,354.6,8.547,3005095.5,2.106
126,840.0,Standard + p.c.(l),3.077,0.2,250.0,0.60,355.9,7.207,2591128.2,1.923
#Mean,840.0,,3.082,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
127,860.0,Standard + p.c.(l),3.067,0.2,250.0,0.60,355.5,7.565,2591128.2,1.916
128,860.0,Standard + p.c.(l),3.107,0.2,250.0,0.60,354.2,7.474,2591128.2,1.905
129,860.0,Standard + p.c.(l),3.080,0.2,250.0,0.60,354.7,7.632,2591128.2,2.107
#Mean,860.0,,3.084,,,,,,,
#Std_Dev,0.0,,0.021,,,,,,,
130,880.0,Standard + p.c.(l),3.109,0.2,250.0,0.60,352.2,7.816,2591128.2,2.12
131,880.0,Standard + p.c.(l),3.108,0.2,250.0,0.60,352.6,7.597,2591128.2,1.929
