##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P2 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P2
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
54,360.0,Standard + p.c.(l),0.701,1.0,250.0,0.60,1435.0,1.631,4400161.7,2.049
#Mean,360.0,,0.703,,,,,,,
#Std_Dev,0.0,,0.033,,,,,,,
55,380.0,Standard + p.c.(l),0.823,3.4,250.0,0.60,1037.0,7.695,17600647.0,2.086
56,380.0,Standard + p.c.(l),0.914,1.8,250.0,0.60,1101.3,6.181,21039421.4,1.998
57,380.0,Standard + p.c.(l),0.935,1.6,250.0,0.60,1086.3,8.31,25627324.2,2.063
#Mean,380.0,,0.891,,,,,,,
#Std_Dev,0.0,,0.060,,,,,,,
58,400.0,Standard + p.c.(l),1.267,1.5,250.0,0.60,845.9,6.881,25627324.2,2.064
59,400.0,Standard + p.c.(l),0.990,1.2,250.0,0.60,1037.5,9.174,25627324.2,2.075
60,400.0,Standard + p.c.(l),1.261,0.7,250.0,0.60,841.7,5.445,20276727.3,2.061
#Mean,400.0,,1.173,,,,,,,
#Std_Dev,0.0,,0.159,,,,,,,
61,420.0,Standard + p.c.(l),1.596,0.9,250.0,0.60,653.9,9.006,25627324.2,1.887
62,420.0,Standard + p.c.(l),1.570,0.7,250.0,0.60,661.1,6.645,19776086.4,1.899
63,420.0,Standard + p.c.(l),1.563,0.9,250.0,0.60,646.3,7.448,19776086.4,2.048
#Mean,420.0,,1.576,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
64,440.0,Standard + p.c.(l),1.900,3.3,250.0,0.60,597.5,7.736,19776086.4,2.076
65,440.0,Standard + p.c.(l),1.730,1.0,250.0,0.60,615.2,6.581,15996250.0,1.908
66,440.0,Standard + p.c.(l),1.685,0.8,250.0,0.60,615.8,6.891,15996250.0,2.032
#Mean,440.0,,1.772,,,,,,,
#Std_Dev,0.0,,0.113,,,,,,,
67,460.0,Standard + p.c.(l),1.806,1.0,250.0,0.60,590.2,7.838,15996250.0,2.06
68,460.0,Standard + p.c.(l),1.764,0.8,250.0,0.60,592.5,6.734,13837237.5,1.898
69,460.0,Standard + p.c.(l),1.767,0.8,250.0,0.60,588.1,6.854,13837237.5,2.055
#Mean,460.0,,1.779,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,
70,480.0,Standard + p.c.(l),1.853,0.9,250.0,0.60,560.6,7.899,13837237.5,1.881
71,480.0,Standard + p.c.(l),1.846,0.9,250.0,0.60,565.6,7.918,13837237.5,2.063
72,480.0,Standard + p.c.(l),1.837,0.8,250.0,0.60,566.5,8.039,13837237.5,2.023
#Mean,480.0,,1.845,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
73,500.0,Standard + p.c.(l),1.972,1.0,250.0,0.60,531.3,3.207,5086586.9,1.895
74,500.0,Standard + p.c.(l),1.954,0.8,250.0,0.60,536.1,3.208,5086586.9,1.887
75,500.0,Standard + p.c.(l),1.932,0.8,250.0,0.60,536.2,3.244,5086586.9,2.059
#Mean,500.0,,1.952,,,,,,,
#Std_Dev,0.0,,0.020,,,,,,,
76,520.0,Standard + p.c.(l),2.093,1.0,250.0,0.60,502.4,3.6,5086586.9,1.91
77,520.0,Standard + p.c.(l),2.046,0.8,250.0,0.60,510.5,3.67,5086586.9,2.081
78,520.0,Standard + p.c.(l),2.035,0.8,250.0,0.60,511.6,3.629,5086586.9,2.052
#Mean,520.0,,2.058,,,,,,,
#Std_Dev,0.0,,0.031,,,,,,,
79,540.0,Standard + p.c.(l),2.158,1.1,250.0,0.60,486.3,4.312,5086586.9,2.028
80,540.0,Standard + p.c.(l),2.114,1.1,250.0,0.60,493.3,4.24,5086586.9,1.894
81,540.0,Standard + p.c.(l),2.093,0.9,250.0,0.60,499.9,4.241,5086586.9,2.031
#Mean,540.0,,2.122,,,,,,,
#Std_Dev,0.0,,0.033,,,,,,,
82,560.0,Standard + p.c.(l),2.258,0.9,250.0,0.60,461.6,4.767,5086586.9,1.874
83,560.0,Standard + p.c.(l),2.135,0.7,250.0,0.60,491.3,2.41,2534493.2,2.03
84,560.0,Standard + p.c.(l),2.136,0.7,250.0,0.60,489.4,4.761,5086586.9,1.886
#Mean,560.0,,2.176,,,,,,,
#Std_Dev,0.0,,0.071,,,,,,,
85,580.0,Standard + p.c.(l),2.255,0.9,250.0,0.60,462.3,5.666,5086586.9,2.049
86,580.0,Standard + p.c.(l),2.255,0.7,250.0,0.60,463.5,5.432,5086586.9,1.897
87,580.0,Standard + p.c.(l),2.248,0.7,250.0,0.60,462.7,5.644,5086586.9,2.046
#Mean,580.0,,2.253,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
88,600.0,Standard + p.c.(l),2.407,0.8,250.0,0.60,431.2,6.38,5086586.9,2.08
89,600.0,Standard + p.c.(l),2.359,0.7,250.0,0.60,436.6,6.31,5086586.9,2.048
90,600.0,Standard + p.c.(l),2.357,0.7,250.0,0.60,436.1,6.415,5086586.9,2.054
#Mean,600.0,,2.374,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
91,620.0,Standard + p.c.(l),2.547,0.9,250.0,0.60,408.3,7.033,5086586.9,1.886
92,620.0,Standard + p.c.(l),2.506,0.7,250.0,0.60,414.1,6.953,5086586.9,2.096
93,620.0,Standard + p.c.(l),2.509,0.6,250.0,0.60,426.0,6.919,5086586.9,2.006
#Mean,620.0,,2.521,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
94,640.0,Standard + p.c.(l),2.678,0.8,250.0,0.60,388.0,7.574,5086586.9,1.899
95,640.0,Standard + p.c.(l),2.616,0.7,250.0,0.60,394.9,7.579,5086586.9,2.058
96,640.0,Standard + p.c.(l),2.595,0.6,250.0,0.60,397.8,7.484,5086586.9,1.88
